state,date,est_infections,est_population,infection_rate,scaled_ir,severe
Utah,2020-05-15,104.02645039548901,3205958,3.244785190432595e-05,0.14269690517615016,0
Utah,2020-05-16,98.64148767767661,3205958,3.07681783971208e-05,0.1353101539063944,0
Utah,2020-05-17,94.8729180156267,3205958,2.9592688992066237e-05,0.13014066839738067,0
Utah,2020-05-18,91.6933932664562,3205958,2.860093403171726e-05,0.12577919744411545,0
Utah,2020-05-19,88.60824156611089,3205958,2.7638615841539685e-05,0.12154718147034974,0
Utah,2020-05-20,85.10500713703779,3205958,2.654588960212136e-05,0.11674166605208879,0
Utah,2020-05-21,80.7008073191582,3205958,2.517213491853549e-05,0.1107002632974572,0
Utah,2020-05-22,76.63411709732941,3205958,2.3903655973449873e-05,0.10512183485998038,0
Utah,2020-05-23,72.1321012146422,3205958,2.249939057674561e-05,0.09894625421428743,0
Utah,2020-05-24,66.87135934849461,3205958,2.085846394384911e-05,0.09172990125216153,0
Utah,2020-05-25,61.608962646970994,3205958,1.9217021135950936e-05,0.08451127829153134,0
Utah,2020-05-26,57.4242208522637,3205958,1.7911719633340082e-05,0.07877091417287098,0
Utah,2020-05-27,54.656504597258795,3205958,1.7048415667722034e-05,0.07497433606595948,0
Utah,2020-05-28,51.829734508100394,3205958,1.6166691674719504e-05,0.07109675164437576,0
Utah,2020-05-29,48.4252423313782,3205958,1.5104765044139132e-05,0.06642668460266885,0
Utah,2020-05-30,45.135386120535,3205958,1.4078595577526282e-05,0.06191386792849285,0
Utah,2020-05-31,42.8157711124588,3205958,1.3355063014692893e-05,0.05873196677074218,0
Utah,2020-06-01,40.7691047174418,3205958,1.2716668377265641e-05,0.05592447925701248,0
Utah,2020-06-02,38.2530674531297,3205958,1.1931867932496215e-05,0.05247313847141455,0
Utah,2020-06-03,35.672759518826794,3205958,1.1127020228844792e-05,0.04893363524569567,0
Utah,2020-06-04,33.1532125326865,3205958,1.034112503429131e-05,0.04547748004567568,0
Utah,2020-06-05,30.631576007563602,3205958,9.554578072315234e-06,0.042018458548237894,0
Utah,2020-06-06,28.788817723288698,3205958,8.97978629891243e-06,0.03949067928410393,0
Utah,2020-06-07,26.9982221420859,3205958,8.421265076487559e-06,0.037034453516872984,0
Utah,2020-06-08,24.881293115114797,3205958,7.760954171924522e-06,0.034130584168578934,0
Utah,2020-06-09,23.1328394085378,3205958,7.215577811230778e-06,0.03173216595958276,0
Utah,2020-06-10,21.791165734618396,3205958,6.797083971349093e-06,0.029891742871482312,0
Utah,2020-06-11,20.370822158199697,3205958,6.354051474847673e-06,0.02794340538682421,0
Utah,2020-06-12,18.936472904727303,3205958,5.906650338128978e-06,0.025975855800210793,0
Utah,2020-06-13,17.7295554531575,3205958,5.530189557429479e-06,0.024320282774907585,0
Utah,2020-06-14,16.5700906062098,3205958,5.168530157353839e-06,0.022729802231356597,0
Utah,2020-06-15,15.3245008472386,3205958,4.780006739713558e-06,0.021021180980694887,0
Utah,2020-06-16,14.1263950659214,3205958,4.406294488549569e-06,0.019377695247326274,0
Utah,2020-06-17,13.2341175895086,3205958,4.127975971459576e-06,0.018153725439686772,0
Utah,2020-06-18,12.4152216802598,3205958,3.872546577422349e-06,0.017030415824667057,0
Utah,2020-06-19,11.5847574513336,3205958,3.6135088018413217e-06,0.015891237520383565,0
Utah,2020-06-20,10.7650024890732,3205958,3.3578114526369966e-06,0.014766749510775667,0
Utah,2020-06-21,9.944000938946848,3205958,3.1017252686862547e-06,0.01364055151077708,0
Utah,2020-06-22,9.2547886125925,3205958,2.886746679960405e-06,0.012695133632582836,0
Utah,2020-06-23,8.679614118166269,3205958,2.7073386857115e-06,0.011906145639596306,0
Utah,2020-06-24,8.114484362536581,3205958,2.5310638388078015e-06,0.011130936383984187,0
Utah,2020-06-25,7.537495666782839,3205958,2.351089960249897e-06,0.01033945978436065,0
Utah,2020-06-26,6.97742663791217,3205958,2.1763936514178193e-06,0.009571192513637193,0
Utah,2020-06-27,6.457393633707889,3205958,2.0141853491866986e-06,0.008857844129364368,0
Utah,2020-06-28,5.972223115919159,3205958,1.8628513274095166e-06,0.0081923178989841,0
Utah,2020-06-29,5.56374549335288,3205958,1.7354392956342162e-06,0.007631994131620296,0
Utah,2020-06-30,5.25114388285065,3205958,1.637932837189586e-06,0.007203187013668121,0
